,origin,destination,startdate,enddate,price,currency,deptime_1,arrtime_1,deptime_2,arrtime_2
0,MIL,MAD,2021-04-29,2021-05-02,139,USD,11:35am,1:55pm,8:40am,10:50am
1,MIL,MAD,2021-04-29,2021-05-02,154,USD,7:40pm,10:05pm,8:40am,10:50am
2,MIL,MAD,2021-04-29,2021-05-02,154,USD,7:40pm,10:05pm,9:50am,12:00pm
3,MIL,MAD,2021-04-29,2021-05-02,156,USD,11:35am,1:55pm,9:50am,12:00pm
4,MIL,MAD,2021-04-29,2021-05-02,262,USD,10:40am,1:00pm,9:50am,12:00pm
5,MIL,MAD,2021-04-29,2021-05-02,262,USD,7:40pm,10:05pm,4:45pm,7:00pm
6,MIL,MAD,2021-04-29,2021-05-02,264,USD,11:35am,1:55pm,4:45pm,7:00pm
7,MIL,MAD,2021-04-29,2021-05-02,267,USD,10:40am,1:00pm,8:40am,10:50am
8,MIL,MAD,2021-04-29,2021-05-02,267,USD,7:40pm,10:05pm,3:10pm,5:15pm
9,MIL,MAD,2021-04-29,2021-05-02,269,USD,11:35am,1:55pm,3:10pm,5:15pm
10,MIL,MAD,2021-04-29,2021-05-02,319,USD,10:40am,1:00pm,3:10pm,5:15pm
